Filename,Table name [should match with redivis],Description,URL,Reference,DOI,Original License,Public Reshare?,Derived License,Notes,Contributor,Date
balance_mokken,balance_mokken,Toddler's performance on balancing tasks,https://cran.r-project.org/web/packages/mokken/index.html,"Van Maanen, L., Been, P. H., & Sijtsma, K. (1989). Problem solving strategies and the linear logistic test model. In Mathematical psychology in progress (pp. 267-287). Springer.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,
big5_sirt,big5_sirt,Data from a big 5 measure,https://cran.r-project.org/web/packages/sirt/index.html,"Dolan, C. V., Oort, F. J., Stoel, R. D., & Wicherts, J. M. (2009). Testing measurement invariance in the target rotated multigroup exploratory factor model. Structural Equation Modeling: A Multidisciplinary Journal, 16(2), 295-314.",10.1080/10705510902751416,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-29-2023,BD,
brain_hemisphere,brain_hemisphere,"Data from an interactive version of the Open Hemispheric Brain Dominance Scale survey, a measure of left and right brain cognitive style",http://openpsychometrics.org/_rawdata/,"Jorgenson, E. (2016). Open Hemispheric Brain Dominance Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/OHBDS-data.zip",,,Public,CC BY 4.0,,LCM,
",http://openpsychometrics.org/_rawdata/,"Yarkoni, T. (2010). The abbreviation of personality, or how to measure 200 personality scales with 200 items. Journal of Research in Personality, 44, 180-198.",10.1016/j.jrp.2010.01.002,,Public,CC BY 4.0,,LCM,
cavalini_mokken,cavalini_mokken,Coping with noxious factory odor.,https://cran.r-project.org/web/packages/mokken/index.html,"Cavalini, P. M. (1992). It’s an ill wind that brings no good. Studies on odour annoyance and the dispersion of odorant concentrations from industries. Unpublished doctoral disseratation. University of Groningen, The Netherlands.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,
cdm_ecpe,cdm_ecpe,Data from an English proficiency exam (ECPE),https://cran.r-project.org/web/packages/CDM/index.html,"Templin, J., & Hoffman, L. (2013). Obtaining diagnostic classification model estimates using Mplus. Educational Measurement: Issues and Practice, 32, 37-50.",10.1111/emip.12010,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,
cdm_hr,cdm_hr,Data from a high-stakes reading comprehension test,https://cran.r-project.org/web/packages/CDM/index.html,"Ravand, H., Barati, H., & Widhiarso, W. (2013). Exploring diagnostic capacity of a high stakes reading comprehension test: A pedagogical demonstration. Iranian Journal of Language Testing, 3(1), 1-27.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,
cdm_pisa00R,cdm_pisa00r,Subset of PISA reading test with Q matrix.,https://cran.r-project.org/web/packages/CDM/index.html,"Chen, J., & de la Torre, J. (2014). A procedure for diagnostically modeling extant large-scale assessment data: the case of the programme for international student assessment in reading. Psychology, 5(18), 1967-1978.",10.4236/psych.2014.518200,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,
cdm_timss03,cdm_timss03,Subset of TIMSS math items with Q matrix,https://cran.r-project.org/web/packages/CDM/index.html,"Su, Y.-L., Choi, K. M., Lee, W.-C., Choi, T., & McAninch, M. (2013). Hierarchical cognitive diagnostic analysis for TIMSS 2003 mathematics. CASMA Research Report 35. Center for Advanced Studies in Measurement and Assessment (CASMA), University of Iowa.",10.1007/s10763-018-9916-9,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,
cdm_timss07,cdm_timss07,Subsample of TIMSS items from Australia with Q matrix,https://cran.r-project.org/web/packages/CDM/index.html,"Lee, Y. S., Park, Y. S., & Taylan, D. (2011). A cognitive diagnostic modeling of attribute mastery in Massachusetts, Minnesota, and the US national sample using the TIMSS 2007. International Journal of Testing, 11, 144-177.",10.1080/15305058.2010.534571,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,
cdm_timss11,cdm_timss11,Austrian TIMSS data with Q matrix,https://cran.r-project.org/web/packages/CDM/index.html,"George, A. C., & Robitzsch, A. (2014). Multiple group cognitive diagnosis models, with an emphasis on differential item functioning. Psychological Test and Assessment Modeling, 56(4), 405-432",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,
chess_lnirt,chess_lnirt,Data from the Amsterdam Chess test,https://cran.r-project.org/web/packages/LNIRT/index.html,"Van Der Maas, H. L., & Wagenmakers, E. J. (2005). A psychometric analysis of chess expertise. The American journal of psychology, 118(1), 29-60.",10.2307/30039042,GPL-3,Public,GPL-3,Data modified from original on 2-7-2023,BD,
close_relationships,close_relationships,"Data from an interactive version of the Experinces in Close Relationships Scale by Kelly Brennan, Catherine Clark and Phillip Shaver.",http://openpsychometrics.org/_rawdata/,(2018). Experiences in Close Relationships Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/ECR-data-1March2018.zip,,,Public,CC BY 4.0,,LCM,
consideration_future_consequences,consideration_future_consequences,Likert scale responses statements on how actions may effect future consequences,http://openpsychometrics.org/_rawdata/,Consideration of Future Consequences Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/CFCS.zip,,,Public,CC BY 4.0,,LCM,
Kim, James S.; Burkhauser, Mary; Mesite, Laura; Asher, Catherine A.; Relyea, Jackie Eunjung; Fitzgerald, Jill; Elmore, Jeff, 2021, ""Replication data for: Improving Reading Comprehension, Science Domain Knowledge, and Reading Engagement through a First-Grade Content Literacy Intervention"", https://doi.org/10.7910/DVN/RVJIMX, Harvard Dataverse, V1, UNF:6:BSUJnLmkvmj0YSTQr3MZAA== [fileUNF]",10.7910/DVN/RVJIMX,Custom terms: https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RVJIMX&version=1.0&selectTab=termsTab,Public,CC BY 4.0,"• Should this data be used in subsequent research that is published or presented, the original publishers of the data at the READS Lab at Harvard University's Graduate School of Education must be notified. Please email Ethan Scherer (ethan_scherer@gse.harvard.edu).
credentialform_lnirt,credentialform_lnirt,Responses and response times from a credentialing dataset with suspected cheating.,https://cran.r-project.org/web/packages/LNIRT/index.html,"Cizek, G. J., & Wollack, J. A. (Eds.). (2016). Handbook of quantitative methods for detecting cheating on tests. Abingdon, England: Routledge.",,GPL-3,Public,GPL-3,Data modified from original on 2-7-2023,BD,
cub_relgoods,cub_relgoods,Survey of leisure time usage,https://cran.r-project.org/web/packages/CUB/index.html,http://www.labstat.it/home/wp-content/uploads/2015/09/relgoods.txt,,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,
",Public,CC BY 4.0,,LCM,
dd_rotation,dd_rotation,Data on mental rotation tasks,https://cran.r-project.org/web/packages/diffIRT/index.html,"Borst, G., Kievit, R. A., Thompson, W. L., & Kosslyn, S. M. (2011). Mental rotation is not easily cognitively penetrable. Journal of Cognitive Psychology, 23(1), 60-75.",10.1080/20445911.2011.454498,GPL-2,Public,GPL-2,Data modified from original on 1-25-2023,BD,
",10.3758/s13428-019-01309-y,CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,Data modified from original on 4-27-2023.,LCM,
",10.3758/s13428-019-01309-y,CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,Data modified from original on 4-27-2023.,LCM,
depression_anxiety_stress,depression_anxiety_stress,Data from an online survey that measures scales of depression anxiety and stress,http://openpsychometrics.org/_rawdata/,(2021). Depression Anxiety Stress Scales [dataset and codebook]. http://openpsychometrics.org/_rawdata/DASS_data_21.02.19.zip,,,Public,CC BY 4.0,,LCM,
difNLR_msatb,difnlr_msatb,Responses to Czech medical school admissions exam,https://cran.r-project.org/web/packages/difNLR/index.html,"Drabinova, A. & Martinkova, P. (2017). Detection of differential item functioning with nonlinear regression: A non-IRT approach accounting for guessing. Journal of Educational Measurement, 54(4), 498–517, doi: 10.1111/jedm.12158.",10.1111/jedm.12158,GPL-3,Public,GPL-3,Data modified from original on 2-13-2023,BD,
ds14_mokken,ds14_mokken,DS14 responses from patients with coronary artery disease,https://cran.r-project.org/web/packages/mokken/index.html,"Denollet, J., Pedersen, S. S., Vrints, C. J., & Conraads, V. M. (2013). Predictive value of social inhibition and negative affectivity for cardiovascular events and mortality in patients with coronary artery disease: the Type D personality construct. Psychosomatic Medicine, 75, 873-981.",10.1097/PSY.0000000000000001,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,
duolingo__listen,duolingo__listen,Modeling of second language acquisition,http://sharedtask.duolingo.com/2018.html#task-definition-data,"Settles, Burr, 2018, ""Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)"", https://doi.org/10.7910/DVN/8SWHNO, Harvard Dataverse, V4, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SWHNO",10.7910/DVN/8SWHNO,email permission 12-13-2024,Public,CC BY 4.0,,BD,
duolingo__reverse_tap,duolingo__reverse_tap,Modeling of second language acquisition,http://sharedtask.duolingo.com/2018.html#task-definition-data,"Settles, Burr, 2018, ""Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)"", https://doi.org/10.7910/DVN/8SWHNO, Harvard Dataverse, V4, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SWHNO",10.7910/DVN/8SWHNO,email permission 12-13-2024,Public,CC BY 4.0,,BD,
duolingo__reverse_translate,duolingo__reverse_translate,Modeling of second language acquisition,http://sharedtask.duolingo.com/2018.html#task-definition-data,"Settles, Burr, 2018, ""Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)"", https://doi.org/10.7910/DVN/8SWHNO, Harvard Dataverse, V4, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SWHNO",10.7910/DVN/8SWHNO,email permission 12-13-2024,Public,CC BY 4.0,,BD,
for Research Data in Psychology.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,
empathizing_systemizing,empathizing_systemizing,"Data from an interactive online version of a combined set of Simon Baron-Cohen's Empathizing and Systemizing Quotients, which asks participants how much they agree with statements of empathizing and perceiving behaviors",http://openpsychometrics.org/_rawdata/,Empathizing-Systemizing Test [dataset and codebook. http://openpsychometrics.org/_rawdata/EQSQ.zip,,,Public,CC BY 4.0,,LCM,
enem_2013_1mil_ch,enem_2013_1mil_ch,Data from the natural science portion of the 2013 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2013_1mil_cn,enem_2013_1mil_cn,Data from the social science portion of the 2013 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2013_1mil_lc,enem_2013_1mil_lc,Data from the language portion of the 2013 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2013_1mil_mt,enem_2013_1mil_mt,Data from the mathematics portion of the 2013 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2014_1mil_ch,enem_2014_1mil_ch,Data from the natural science portion of the 2014 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,KK,
enem_2014_1mil_cn,enem_2014_1mil_cn,Data from the social science portion of the 2014 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,KK,
enem_2014_1mil_lc,enem_2014_1mil_lc,Data from the language portion of the 2014 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,KK,
enem_2014_1mil_mt,enem_2014_1mil_mt,Data from the mathematics portion of the 2014 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,KK,
enem_2015_1mil_ch,enem_2015_1mil_ch,Data from the natural science portion of the 2015 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2015_1mil_cn,enem_2015_1mil_cn,Data from the social science portion of the 2015 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2015_1mil_lc,enem_2015_1mil_lc,Data from the language portion of the 2015 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2015_1mil_mt,enem_2015_1mil_mt,Data from the mathematics portion of the 2015 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2016_1mil_ch,enem_2016_1mil_ch,Data from the natural science portion of the 2016 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2016_1mil_cn,enem_2016_1mil_cn,Data from the social science portion of the 2016 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2016_1mil_lc,enem_2016_1mil_lc,Data from the language portion of the 2016 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2016_1mil_mt,enem_2016_1mil_mt,Data from the mathematics portion of the 2016 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2017_1mil_ch,enem_2017_1mil_ch,Data from the natural science portion of the 2017 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2017_1mil_cn,enem_2017_1mil_cn,Data from the social science portion of the 2017 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2017_1mil_lc,enem_2017_1mil_lc,Data from the language portion of the 2017 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2017_1mil_mt,enem_2017_1mil_mt,Data from the mathematics portion of the 2017 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2018_1mil_ch,enem_2018_1mil_ch,Data from the natural science portion of the 2018 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2018_1mil_cn,enem_2018_1mil_cn,Data from the social science portion of the 2018 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2018_1mil_lc,enem_2018_1mil_lc,Data from the language portion of the 2018 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2018_1mil_mt,enem_2018_1mil_mt,Data from the mathematics portion of the 2018 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2019_1mil_ch,enem_2019_1mil_ch,Data from the natural science portion of the 2019 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2019_1mil_cn,enem_2019_1mil_cn,Data from the social science portion of the 2019 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
enem_2019_1mil_lc,enem_2019_1mil_lc,Data from the language portion of the 2019 Brazilian ENEM assessment (one million person subsample),https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem,"Martins, D. M. (2021). Estado da arte das pesquisas sobre ENEM no Brasil: State of the art of research on ENEM in Brazil. Latin American Journal of Development, 3(5), 2898-2907.",10.46814/lajdv3n5-018,,Public,CC BY 4.0,Data files separated by year-test due to size constraints. Respondent id links across tests within a year and to ENEM microdata,LCM,
